category,train_limit,k,auc
tile,50,10,1.0
grid,50,10,0.9111111111111112
bottle,50,10,0.8518518518518519
transistor,50,10,0.8333333333333333
toothbrush,50,10,0.6666666666666667
cable,50,10,0.625
leather,50,10,0.5555555555555556
wood,50,10,0.5555555555555556
pill,50,10,0.4603174603174603
capsule,50,10,0.4444444444444444
screw,50,10,0.3555555555555555
hazelnut,50,10,0.3333333333333333
zipper,50,10,0.3015873015873016
metal_nut,50,10,0.2777777777777778
carpet,50,10,0.2444444444444444
